Event,Group,Date (AD Year),SCA Year,Location,Address,City,Zip Code,Autocrat,Toilets,Potable Water,Showers,Camping Availability (Sq Ft),Feast Hall,Equestrian,Archery Allowed,War Field,12th Night,Site Contact,Parking Issues,Site Costs,Attendance,Site Issues,Other Information
Coronet Tournament,Principality of Cynagua,5/23/2003,38,Plumas County Fairgrounds,204 Fairgrounds Rd,Quincy,95971,Timus,,,,,,,,,,,,,436,,
Baronial Investiture,Barony of Selveirgard,5/23/2003,38,Willow Area Community Center,"Milepost 69, Parks HWY 4",Willow,99694,Canute Mjoksiglandi,,,,,,,,,,,,,,,
Heron's Pool,Barony of Allyshia,5/24/2003,38,The Crippled Griffin,,Eureka,95503,Janos Michaly,,,,,,,,,,,,,,,
Scriptorium,Principality of Cynagua,5/31/2003,38,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Siranna of Hawthorn Hall,,,,,,,,,,,,,,,
"Dance, Drum & Delicacies",Shire of Danegeld Tor,6/7/2003,38,Rusch Park,7301 Antelope Rd.,Citrus Heights,95621,Rayna Dorian,,,,,,,,,,,,,,,
Spring Captaincy,Barony of Winter's Gate,6/7/2003,38,Pioneer Park,2300 Airport Way,Fairbanks,99701,Magda Ochastka,,,,,,,,,,,,,,,
East meets West,Barony of Allyshia,6/14/2003,38,HBMWD Pump Station,7270 West End Road,Arcata,95501,Meghan,,,,,,,,,,,,,,,
Newcomer's Collegium,Province of Golden Rivers,6/14/2003,38,Carmichael Park,5750 Grant Ave,Carmichael,95608,Arnorr Bjarnarson,,,,no,yes,no,no,no,no,,,,,,
Warlord's Tourney,Province of Southern Shores,6/14/2003,38,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Dmitrius Doukais,,,,,,,,,,,,,,,
Mists Games,Principality of the Mists,6/15/2003,38,,,,,,,,,,,,,,,,,,,,
June Crown Tournament,Kingdom of the West,6/20/2003,38,Gibson Ranch County Park,8552 Gibson Ranch Dr.,Elverta,95626,Gisela de Kalais,,,,,,,,,,,,,1200,,
Newcomer's/Solstice Event,Barony of Eskalya,6/27/2003,38,Centennial Camper Park,8300 Glenn Highway,Anchorage,99504,Throvaldr Torbjomson,,,,,,,,,,,,,,,
Baronial Championship Tourney,Barony of Fettburg,6/27/2003,38,,,Lodi,,Raven of Drachen Heim,,,,,,,,,,,,,,,
Archery Tourney,Barony of Darkwood,6/27/2003,38,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Sveinn Ulfsson,,,,,,,,,,,,,,,
Birthday Bash,Palantine Barony of the Far West,6/28/2003,38,"Hannam Chapel, Hannam Village",,Seoul,,Morgan Rowanwaif,,,,,,,,,,,,,,,
Wolfscairn Invasion,Barony of Vinhold,6/28/2003,38,,,,,,,,,,,,,,,,,,,,
First Sword,Shire of Esfenn,7/12/2003,38,Sorensdale Park,275 Goodwin Street,Hayward,94544,Richard de Camville,,,,,,,,,,,,,,,
Investiture,Principality of Cynagua,7/12/2003,38,Odd Fellow's Hall,1831 Howe Avenue,Sacramento,95825,Antonio Giordano da Sicilia,,,,,,,,,,,,,196,,
War from the Heart,Shire of Crosston,7/12/2003,38,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Geoffrey Mathias,,,,,,,,,,,,,,,
Clan War,Canton of Montagne du Roi,7/18/2003,38,Fort Ord Travel Camp,,Fort Ord,93955,Katherine ni Cheallaigh of Skye,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Coronet/Investiture,Principality of Oertha,7/18/2003,38,Chena Lake Recreation Area,3780 Laurance Road,North Pole,99705,Fathir von Trier,,,,,,,,,,,,,,,
Arts and Sciences Competition,Kingdom of the West,7/25/2003,38,Fort Ord Travel Camp,,Fort Ord,93955,Susan of Wight,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Protectorate Tourney,Canton of Borderwinds,8/2/2003,38,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Anne Brynley,,,,,,,,,,,,,,,
Performing Arts Fete,Shire of Crosston,8/2/2003,38,Saratoga Foothill Club,20399 Park Place,Saratoga,95070,Marguerite du Royon,,,,,,,,,,,,,,,
Deep Woods Hunt,Barony of Allyshia,8/7/2003,38,Jackson State Demonstration Forest,,Mendocino,,Kyla Silvertongue,,,,,,,,,,,,,,,
Westermark Madness,Barony of the Westermark,8/8/2003,38,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Linda of the Lakelands,,,,X,,,,,,,,,,,
Mid-Summer's Feast,Barony of Fettburg,8/16/2003,38,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Cassandra Cernakova,,,,,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,8/22/2003,38,,,Crescent City,,Erik Firediver,,,,,,,,,,,,,256,,
Warlord's Tournament,Barony of Selveirgard,8/22/2003,38,Lake Lucille Park,South Endeavor Park,Wasilla,99654,Aislynn Dennard of Dragon's Lair,,,,,,,,,,,,,,,
Ducal Prize Tournament,KHTI,8/29/2003,38,Yolo County Fairgrounds,1125 East St.,Woodland,95776,Anastacia Grindstead,,,,,,,,,,,,,,,
Harvest Captaincy,Barony of Winter's Gate,8/30/2003,38,Pioneer Park,2300 Airport Way,Fairbanks,99701,Gwyneth Rhiannon of the Sea,,,,,,,,,,,,,,,
Mists Bardic,Principality of the Mists,9/6/2003,38,Saint Mark's Episcopal Church,1957 Pruneridge Ave,Santa Clara,95050,Colin MacLear,,,,,,,,,,,,,92,,
Warlord Ascension,Shire of Wuduholt be Secg,9/6/2003,38,Rowdy Creek Campground,1000 Rowdy Creek Rd,Smith River,95567,Thorkil Stormchaser,,,,,,,,,,,,,,,
Cynagua/Mists War,Principality of Cynagua,9/12/2003,38,Concow Reservoir,,Oroville,95965,Kyrstyan Mainwaring,,,,,,,,,,,,,,,
Arts and Sciences Tourney,Barony of Darkwood,9/19/2003,38,Fort Ord Travel Camp,,Fort Ord,93955,Sorcha Fhionn inghean ui/Ruairc,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Championship,Province of Silver Desert,9/20/2003,38,,,Quincy,,Ricola of Fenhop,,,,,,,,,,,,,,,
Coronet Tournament,Principality of the Mists,9/26/2003,38,Fort Ord Travel Camp,,Fort Ord,93955,Caitlin O'Byrne,,,,,,,,,,,,,152,Endangered Species found living in camping area.  Can not use right now. Check back.,
Buzzard's Inn,Barony of Selveirgard,9/27/2003,38,,,,,Aminah al-Zarqa,,,,,,,,,,,,,,,
Crown Tournament,Kingdom of the West,10/3/2003,38,Yolo County Fairgrounds,1125 East St.,Woodland,95776,Kateryn de Ver,,,,,,,,,,,,,897,,
Michaelmas Feast,Barony of Winter's Gate,10/11/2003,38,University Community Presbyterian Church,3510 College Road,Fairbanks,99709,Margery Garret,,,,,,,,,,,,,,,
Anniversary Tourney,Shire of Teufelberg,10/11/2003,38,Hidden Valley Park,Center Ave.,Martinez,94553,Iosef Braun,,,,,,,,,,,,,,,
Games and Galliards,Canton of Caer Darth,10/11/2003,38,,,Santa Cruz,,Juan Santiago,,,,,,,,,,,,,,,
Harvest Fest,Province of Southern Shores,10/18/2003,38,John D. Morgan Park,349 Budd Ave,Campbell,95008,Eliana Fraser,,,,,,,,,,,,,,,
Debardchery,Shire of Cloondara,10/18/2003,38,Golden Gate Park - Archery Field,998 47th Ave,San Francisco,94121,Sylvie la Chardonniere,,,,,,,,,,,,,35,,
Equestrian Event,Kingdom of the West,10/19/2003,38,Loomis Basin Horseman's Arena,,Loomis,,Siobhan ni Seaghdha,,,,,,,,,,,,,60,,
Black and White Tourney,Shire of Champclair,10/19/2003,38,,,Vacaville,,Caiterina nic Sheamus,,,,,,,,,,,,,,,
Coronet Tournament,Principality of Cynagua,10/24/2003,38,Rancho Seco Park,14440 Twin Cities Road,Herald ,95638,Antonio Giordano da Sicilia,,,,,,,,,,,,,411,,
Baronial Tournament/Investiture,Palantine Barony of the Far West,10/25/2003,38,Sirena Beach Campgrounds,,Andersen Air Force Base,,Johannes von Gruefenburg,,,,,,,,,,,,,,,
Masqued Ball,Barony of Allyshia,10/25/2003,38,Freshwater Grange,Grange Rd,Eureka,95503,Meghan the Worrier,,,,,,,,,,,,,,,
Masqued Ball,Barony of Darkwood,10/25/2003,38,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Caterina di Guglielmo,,,,,,,,,,,,,,,
Samhein Vigil,Barony of Selveirgard,11/1/2003,38,Chugiak Benefit Association,18606 Old Glenn Hwy,Chugiak,99567,Katarzina Porajski,,,,,,,,,,,,,,,
Harvest Feast,Shire of Wuduholt be Secg,11/1/2003,38,Del Norte County Fairgrounds,421 Highway 101,Crescent City,95531,Carolyn of Roddingholme,,,,,,,,,,,,,,,
Fall Event,Barony of Vinhold,11/1/2003,38,Springbrook Masonic Temple,101 Temple Way,Vallejo,94591,Timothy Kirkwood,,,,,,,,,,,,,,,
Investiture,Principality of the Mists,11/8/2003,38,Corralitos Grange Hall,165 Little Corral Way,Coralitas,95076,Rhys Gethin,,,,,,,,,,,,,162,,
Baroness' Birthday,Barony of Rivenoak,11/8/2003,38,Durham Community Park,9447 Midway,Durham,95938,Merewen,,,,,,,,,,,,,56,,
Mad Slug Warlord Tourney,College of Saint David's,11/8/2003,38,UC- Santa Cruz,1156 High Street,Santa Cruz,95064,Antonia A'isha Al-Narar Marin,,,,,,,,,,,,,,,
Anniversary Feast,Shire of Danegeld Tor,11/8/2003,38,,,,,,,,,,,,,,,,,,,,
Harvest Feast,Barony of Allyshia,11/15/2003,38,Freshwater Grange,Grange Rd,Eureka,95503,Grear MacMillan,,,,,,,,,,,,,,,
Herald's Collegium,Kingdom of the West,11/15/2003,38,Mechanics Bank Operations Center,725 Alfred Nobel Drive,Hercules,94547,Letitia de Scotia,,,,,,,,,,,,,,,
Turkey Tourney,Canton of Hawk's Haven,11/15/2003,38,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Adriana Tacita,,,,,,,,,,,,,,,
Feasting and Fencing,Shire of Canale,11/15/2003,38,Young's Grove,East Street ,Turlock,,David Falcone,yes,yes,No,,"some indoor seating, used an outdoor kitchen",potentially,yes,yes,,,limited parking,Free,,Privately owned - not always ideal for what we do,
Anniversary Feast,Shire of Vakkerfjell,11/15/2003,38,,,,,,,,,,,,,,,,,,,,
Collegium Occidentalis,Kingdom of the West,11/22/2003,38,,,Berkeley,,Emma Fitzwilliam,,,,,,,,,,,,,85,,
War of Southern Aggression,Canton of Konegstadt,11/22/2003,38,Fort Ord Travel Camp,,Fort Ord,93955,Caitlin O'Byrne,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Anniversary Banquet,Province of Golden Rivers,11/29/2003,38,"Veteran's Hall, Carmichael Park",5750 Grant Ave,Carmichael,95608,Anastacia Grindstead,,,,,,,,,,,,,70,,
Harvest Fest,Barony of Tarnmist,11/29/2003,38,Ramona Garden Park,993 Ramona Ave,Grover Beach,93433,Ellen of the Western Wind,,,,,,,,,,,,,,,
Yule,Barony of Winter's Gate,12/6/2003,38,University Community Presbyterian Church,3510 College Road,Fairbanks,99709,Adeline Webster,,,,,,,,,,,,,,,
Jingles,Province of Southern Shores,12/6/2003,38,,,San Jose,,Francisco de Salamanca,,,,,,,,,,,,,,,
Yule,Barony of Vinhold,12/6/2003,38,,,,,,,,,,,,,,,,,,,,
Yule,Barony of Selveirgard,12/13/2003,38,Birchwood Camp,17161 David Blackburn Rd,Chugiak,99567,Isabel McThomais,,,,,,,,,,,,,,,
Yule,Barony of Rivenoak,12/13/2003,38,Durham Memorial Hall,9319 Midway,Durham,95938,Sakina,,,,,,,,,,,,,114,,
Boar Hunt,Province of the Mists,12/13/2003,38,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Elsa Saxenkammer,,,,,,,,,,,,,76,,
Yule,Barony of Allyshia,12/13/2003,38,Freshwater Grange,Grange Rd,Eureka,95503,Kyla Larsdottir,,,,,,,,,,,,,,,
Yule,Province of Silver Desert,12/13/2003,38,VFW Hall,75 Cowen St,Reno,89502,Rhiannon of 7 Oaks,,,,,,,,,,,,,,,
Yule,Shire of Crystalmist,12/13/2003,38,,,,,,,,,,,,,,,,,,,,
Pirate Tavern Night,Barony of Allyshia,12/31/2003,38,,,,,,,,,,,,,,,,,,,,
Twelfth Night Coronation,Kingdom of the West,1/3/2004,38,Doubletree Hotel,2050 Gateway Place,San Jose,95110,Cilean Stirling,,,,,,,,,,,,,696,,
Candlemas,Palantine Barony of the Far West,1/3/2004,38,,,,,,,,,,,,,,,,,,,,
Anniversary Feast,Shire of Danegeld Tor,1/10/2004,38,Westminster Prebyterian Church Social Hall,1300 N Street,Sacramento ,95814,Elizabeth Margarete,,,,,,,,,,,,,,,
Coronet/Investiture,Principality of Oertha,1/16/2004,38,Viking Hall,8141 Briarwood Street,Anchorage,99518,Jenyvr of Squalid Manor,,,,,,,,,,,,,,,
Winterfeast,Barony of Eskalya,1/16/2004,38,Viking Hall,8141 Briarwood Street,Anchorage,99518,Novella Di Lorenzo,,,,,,,,,,,,,,,
Mid-Winter Revel,Shire of Fendrake Marsh,1/16/2004,38,"Churchill County Fairgrounds,",99 Sheckler Rd.,Fallon,89406,Melissa,,,,,,,,,,,,,,,
Hawk's Feast,Canton of Hawk's Haven,1/24/2004,38,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Sveinn Ulfsson,,,,,,,,,,,,,,,
Winter Investiture,Principality of Cynagua,1/24/2004,38,Odd Fellow's Hall,1831 Howe Avenue,Sacramento ,95825,Catherine de Gray,,,,,,,,,,,,,190,,
Crosston Ball,Shire of Crosston,1/24/2004,38,Saint Mark's Episcopal Church,1957 Pruneridge Ave,Santa Clara,95050,Geoffrey Mathias,,,,,,,,,,,,,,,
Championship Tourney,Province of Golden Rivers,1/31/2004,38,Carmichael Park,5750 Grant Ave,Carmichael ,95608,Antonio Giodano da Sicilia,,,,no,yes,no,no,no,no,,,,,,
Chirurgeon's Collegium,Barony of Fettburg,1/31/2004,38,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Brendan McNeill O'Neill,,,,,,,,,,,,,,,
Lupercalia,Barony of Allyshia,2/7/2004,38,Freshwater Grange,Grange Rd,Eureka,95503,Paula Piper Leigh,,,,,,,,,,,,,,,
War Collegium,Kingdom of the West,2/7/2004,38,Berryessa Community Center Park,3050 Berryessa Road,San Jose,95132,Brian of Glastonbury,,,,,,,,,,,,,,,
Brigid's Feast,Barony of Eskalya,2/7/2004,38,Sterling Senior Center,34453 Sterling Highway,Sterling,99672,Ragnstienn,,,,,,,,,,,,,,,
Tourney,Canton of Montagne du Roi,2/21/2004,38,Whispering Pines Park,Pacific St.,Monterey,,Caterina di Guglielmo,,,,,,,,,,,,,,,
White Shield Tourney,Barony of Darkwood,2/28/2004,38,Monterey County Sherrif's Posse Grounds,395 Old Natividad Road ,Salinas,93901,Awrabella McHargue,,,,,,,,,,,,,170,,
March Madness,Barony of Eskalya,3/6/2004,38,Laborer's Hall,2501 Commercial Drive,Anchorage,99501,Elspeth Bouchannane,,,,,,,,,,,,,,,
Court of Love,Canton of Borderwinds,3/6/2004,38,Ramona Garden Park,993 Ramona Ave.,Grover Beach,93433,Kathryn Blackheart,,,,,,,,,,,,,,,
Herald's Collegium,Kingdom of the West,3/6/2004,38,Colonial Heights Library,4799 Stockton Boulevard,Sacramento ,95820,Gaius M.L. Auklandus,,,,,,,,,,,,,,,
March Crown Tournament,Kingdom of the West,3/12/2004,38,Yolo County Fairgrounds,1125 East St.,Woodland,95776,Anastacia Grindstead of RavenOak,,,,,,,,,,,,,1300,,
Vernal Equinox Tourney,Barony of Selveirgard,3/20/2004,38,Chugiak Benefit Association,18606 Old Glenn Hwy,Chugiak,99567,Zigana,,,,,,,,,,,,,,,
Collegium Occidentalis,Kingdom of the West,3/26/2004,38,,,Reno,,Vigdis Vestfirzka,,,,,,,,,,,,,76,,
Collegium,Barony of Winter's Gate,4/2/2004,38,UAF Campus,,Fairbanks,,Adeline Webster,,,,,,,,,,,,,,,
Spring Coronet,Principality of the Mists,4/2/2004,38,Coyote Lake County Park,Roop Rd.,Gilroy,95020,Kenneth Edwards,,,,,,,,,,,,,,,
Cherry Blossom Viewing,Barony of Eskalya,4/9/2004,38,Laborer's Hall,2501 Commercial Drive,Anchorage,99501,Viola Carara,,,,,,,,,,,,,,,
Fool's Tourney,Barony of Rivenoak,4/9/2004,38,Bidwell Park,Old Chico Canyon Road,Chico,95928,Rowan Buchannan,,,,,,,,,,,,,,,
Newcomer's Tournament,Province of Southern Shores,4/9/2004,38,Kirk Park,1601 Foxworthy Avenue,San Jose,95118,Leonor la Obstinada,,,,,,,,,,,,,,,
Sheep's Raid,College of Saint Brendan's,4/9/2004,38,Rowdy Creek Campground,1000 Rowdy Creek Rd,Smith River,95567,Dierdre of St. Brendan's,,,,,,,,,,,,,,,
Fabulous Fairy Tale Fete,Shire of Pavlok Gorod,4/16/2004,38,Coast Guard Nemitz Gazebo,,Kodiak,,Aingeal Kelliher,,,,,,,,,,,,,,,
Baron's Championship,Barony of Vinhold,4/16/2004,38,John F. Kennedy Memorial Park,2295 Streblow Dr.,Napa,94558,Torvaldr Torgarson,,,,,,,,,,,,,,,
Mad Slug Warlord Prize Tourney,College of Saint David's,4/16/2004,38,UC- Santa Cruz,1156 High Street,Santa Cruz,95064,Enrico di Firenze,,,,,,,,,,,,,,,
Baronial Coronet Tournament,Palantine Barony of the Far West,4/16/2004,38,Hannam Village Chapel Fellowship Hall,,Seoul,,Morgan Rowanwaif,,,,,,,,,,,,,,,
Archery Event,Barony of the Westermark,4/16/2004,38,King's Mountain Archery Range,"1100 Kings Mountain Road,",Woodside,94062,Custodia de Montemor,,,,,,,,,,,,,,,
Championship/Ostara,Shire of Danegeld Tor,4/16/2004,38,,,,,,,,,,,,,,,,,,,,
Mists/Cynagua War,Principality of the Mists,4/23/2004,38,Coyote Lake County Park,Roop Rd.,Gilroy,95020,Petra the Blythe,,,,,,,,,,,,,200,,
Beltane Coronation,Kingdom of the West,4/30/2004,39,Marie Hill Ranch,43700 Highway 128,Cloverdale,95425,Eric von Steinhaus,,,,,,,,,,,,,632,,
Baronial Coronet Tournament,Palantine Barony of the Far West,5/1/2004,39,,,,,,,,,,,,,,,,,,,,
Poacher's Feast,Canton of Caer Darth,5/8/2004,39,Highlands Park,8500 Highway 9,Ben Lomond,95006,Robert of Ravenshill,,,,,,,,,,,,,33,,
Championship,Shire of Mont d'Or,5/8/2004,39,Condon Park,,Grass Valley,,Jora Inn Irska,,,,,,,,,,,,,,,
Celebration of the Arts,Shire of Caldarium,5/8/2004,39,Miwok Meadows - China Camp State Park,101 Peacock Gap Trail,San Rafael,94901,Mark von dem Falkensfenn,,,,,,,,,,,,,,,
Newcomer's Tourney,Province of Silver Desert,5/8/2004,39,Ardmore Park,1200 12th Street,Sparks,89431,Aeschine Colquhoun,,,,,,,,,,,,,,,
May Revel,Barony of Eskalya,5/14/2004,39,Centennial Park,8300 Glenn Highway,Anchorage,99645,Margaret Anne of Somerset,,,,,,,,,,,,,,,
Games Day,Shire of Wuduholt be Secg,5/14/2004,39,,,Crescent City,,Janet MacDonald,,,,,,,,,,,,,,,
Baronial Championship,Barony of Fettburg,5/14/2004,39,,,Lockford,,Cassandra Cernakova,,,,,,,,,,,,,,,
Spring Investiture,Principality of the Mists,5/14/2004,39,Saint Mark's Episcopal Church,1957 Pruneridge Ave,Santa Clara,95050,Euriol of Lothian,,,,,,,,,,,,,147,,
Poke in the Park,Shire of Alpensee,5/21/2004,39,Fuji Park,601 Old Clear Creek Road,Carson City,89701,Fergus MacTighearnain,,,,,,,,,,,,,,,
Spring Offensive,Barony of Selveirgard,5/21/2004,39,Little Susitna River Campground,Mi. 57.5 Parks Hwy,Houston,99694,Thomas Sorngrym,,,,,,,,,,,,,,,
Duchess' War,Shire of Wolfscairn,5/21/2004,39,Finley Park,1800 W College Ave,Santa Rosa,95401,Duncan Vitarius,,,,,,,,,,,,,68,,
Collegium,Shire of Fendrake Marsh,5/21/2004,39,,,,,,,,,,,,,,,,,,,,
Spring Coronet,Principality of Cynagua,5/28/2004,39,Plumas-Sierra County Fairgrounds,204 Fairgrounds Rd,Quincy,95971,Antonio Giordano da Sicilia,,,,,,,,,,,,,551,,
Spring Captaincy,Barony of Winter's Gate,5/28/2004,39,,,,,,,,,,,,,,,,,,,,
War of Southern Aggression,Canton of Konegstadt,6/4/2004,39,Coyote Lake County Park,Roop Rd.,Gilroy,95020,Caitlyn O'Byrne,,,,,,,,,,,,,,,
Pas d'Armes and Feast,Province of Silver Desert,6/4/2004,39,Emmanual First Baptist Church,1100 12th St.,Sparks,89431,Daniel du Blair,,,,,,,,,,,,,,,
East Meets West,Barony of Allyshia,6/4/2004,39,Williams Grove Day and Group Camp A,,,,Jauhara Bani Durrah,,,,,,,,,,,,,,,
June Crown Tournament,Kingdom of the West,6/11/2004,39,San Benito County Fairgrounds,9000 Airline Hwy,Tres Pinos,95075,Liesel Helmschmeid,,,,,,,,,,,,,610,,
Newcomer's Event,Barony of Eskalya,6/18/2004,39,Centennial Park,8300 Glenn Highway,Anchorage,99645,Thorvaldr TorBjorson,,,,,,,,,,,,,,,
Warlord's Tourney,Province of Southern Shores,6/18/2004,39,John D. Morgan Park,349 Budd Ave,Campbell,95008,Wulfstan Darroldson,,,,,,,,,,,,,,,
L'Escercizio della Spada,Shire of Betony Wood,6/18/2004,39,,,Lockeford,,Simon Martillo de Cordoba,,,,,,,,,,,,,30,,
Vinhold War,Barony of Vinhold,6/18/2004,39,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Aureellia de Montfort,,,,,,,,,,,,,,,
Beast Valley Hunt,Barony of Selveirgard,6/18/2004,39,North Pole City Park,,North Pole,,Patrick Willoughby,,,,,,,,,,,,,,,
Baronial Birthday Bash,Palantine Barony of the Far West,6/18/2004,39,,,,,,,,,,,,,,,,,,,,
Collegium Nebularum,Principality of the Mists,6/26/2004,39,Oak Grove Middle School,2050 Minert Road,Concord,94518,Ascelin Meere of Ravenslocke,,,,,,,,,,,,,134,,
Summer Hunt Tourney,Barony of Selveirgard,6/26/2004,39,Thompson Hall Camping Area,,Houston,,Katarzina Porajski,,,,,,,,,,,,,,,
Kylson Memorial Fighter Practice,Barony of Eskalya,6/26/2004,39,,,,,,,,,,,,,,,,,,,,
West/An Tir War,Kingdom of the West,7/2/2004,39,,,Crescent City,,Thorkil Stormchaser,,,,,,,,,,,,,,,
Summer Investiture,Principality of Cynagua,7/9/2004,39,Yolo County Fairgrounds,1125 East St.,Woodland,95776,Aricia Jehane Deveraux,,,,,,,,,,,,,217,,
First Sword Tourney,Shire of Esfenn,7/16/2004,39,Sorensdale Park,275 Goodwin Street,Hayward,94544,John the Hessian,,,,,,,,,,,,,,,
Coronet/Investiture,Principality of Oertha,7/16/2004,39,Kenai Peninsula State Fairgrounds,,Ninilchik,,Richenza von Augsburg,,,,,,,,,,,,,,,
War from the Heart,Shire of Crosston,7/16/2004,39,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,,,,,,,,,,,,,,,,
Medieval Encampment,Barony of Allyshia,7/16/2004,39,Watts Lake Campground - Six River National Forest,,Watts Lake,95595,Kyla Larsdottir,,,,,,,,,,,,,,,
Mid-Summer Feast,Shire of Fendrake Marsh,7/24/2004,39,Churchill County Fairgrounds,99 Sheckler Rd.,Fallon,89406,Toirdhealbhach Mor mac Gille Mhuire,,,,,,,,,,,,,,,
Clan War,Canton of Montagne du Roi,7/24/2004,39,Fort Ord Travel Camp,,Fort Ord,93955,Erich der Helmschmeid,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Performing Arts Fete,Shire of Crosston,7/24/2004,39,Saratoga Foothill Club,20399 Park Place,Saratoga,95070,Marguerite du Royon,,,,,,,,,,,,,,,
Arts and Sciences Tournament,Kingdom of the West,7/30/2004,39,Fort Ord Travel Camp,,Fort Ord,93955,Sabrina de la Bere,,,,,,,,,,,,,310,Endangered Species found living in camping area.  Can not use right now. Check back.,
Protectorate Tourney,Canton of Borderwinds,8/7/2004,39,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Jena Whitehart,,,,,,,,,,,,,,,
Pirate's Revel,Barony of Eskalya,8/7/2004,39,,,,,,,,,,,,,,,,,,,,
Westermark Madness,Barony of the Westermark,8/8/2004,39,Coyote Lake County Park,Roop Rd.,Gilroy,95020,Daene of Saint Matthews,,,,,,,,,,,,,70,,
"Dance, Drums, and Delicacies",Shire of Danegeld Tor,8/13/2004,39,Rusch Park,7301 Antelope Rd.,Citrus Heights,95621,Sindnathnia Sinclair,,,,,,,,,,,,,,,
Arts and Sciences,Barony of Darkwood,8/13/2004,39,Fort Ord Travel Camp,,Fort Ord,93955,Christophe d'Avignon,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Rapier Championship,Province of Golden Rivers,8/13/2004,39,Crawford's Barn,2715 Tiber Drive,Sacramento,95826,Catherine de Gray,,,,,,,,,,,,,46,,
Archery Tournament,Barony of Darkwood,8/20/2004,39,Fort Ord Travel Camp,,Fort Ord,93955,Sveinn Ulfsson,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Baroness' Championship,Barony of Selveirgard,8/20/2004,39,Little Susitna River Campground,Mi. 57.5 Parks Hwy,Houston,99694,Aislynn Dennard of Dragon's Lair,,,,,,,,,,,,,,,
West Meets East,Shire of Pavlok Gorod,8/20/2004,39,,,Kodiak,,Tama Katerina Evstokh'eva,,,,,,,,,,,,,,,
Championship Tourney,Province of Silver Desert,8/20/2004,39,Crystal Peak Campground,,Loyalton,96118,Siobhan ni Seaghdha,,,,,,,,,,,,,,,
Mid-Summer Feast,Barony of Fettburg,8/20/2004,39,,,Manteca,,Eshabelle the Fair,,,,,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,8/27/2004,39,Elks Rodeo Grounds,,Santa Maria,,Godric of Castlemont,,,,,,,,,,,,,253,,
Ducal Prize Tournament,KHTI,9/3/2004,39,Yolo County Fairgrounds,1125 East St.,Woodland,95776,,,,,,,,,,,,,,,,
